0,523776,0
0.001,523776,0
0.002,523776,108
0.003,523776,3032
0.004,523776,430
0.005,523776,3218
0.006,523776,2942
0.007,523776,3900
0.008,523776,4280
0.009,523776,8280
0.01,523776,5276
0.011,523776,2422
0.012,523776,8756
0.013,523776,7000
0.014,523776,11256
0.015,523776,2380
0.016,523776,7554
0.017,523776,9216
0.018,523776,10110
0.019,523776,10498
0.02,523776,7996
0.021,523776,12480
0.022,523776,11220
0.023,523776,9978
0.024,523776,17096
0.025,523776,7990
0.026,523776,13672
0.027,523776,18348
0.028,523776,20918
0.029,523776,13222
0.03,523776,17484
0.031,523776,15314
0.032,523776,16500
0.033,523776,18998
0.034,523776,22276
0.035,523776,19786
0.036,523776,24100
0.037,523776,18104
0.038,523776,29984
0.039,523776,25378
0.04,523776,19872
0.041,523776,14878
0.042,523776,21664
0.043,523776,23542
0.044,523776,22380
0.045,523776,25516
0.046,523776,18334
0.047,523776,28784
0.048,523776,20504
0.049,523776,27012
0.05,523776,26644
0.051,523776,33214
0.052,523776,23904
0.053,523776,32144
0.054,523776,30534
0.055,523776,28050
0.056,523776,28406
0.057,523776,32558
0.058,523776,31590
0.059,523776,29684
0.06,523776,27358
0.061,523776,31722
0.062,523776,31296
0.063,523776,24802
0.064,523776,35034
0.065,523776,31396
0.066,523776,39836
0.067,523776,39448
0.068,523776,34774
0.069,523776,34096
0.07,523776,36142
0.071,523776,34098
0.072,523776,29390
0.073,523776,30796
0.074,523776,31482
0.075,523776,38390
0.076,523776,41996
0.077,523776,34036
0.078,523776,40062
0.079,523776,39918
0.08,523776,34596
0.081,523776,26292
0.082,523776,37218
0.083,523776,45892
0.084,523776,30996
0.085,523776,44272
0.086,523776,40198
0.087,523776,42362
0.088,523776,60036
0.089,523776,48924
0.09,523776,44938
0.091,523776,38210
0.092,523776,40908
0.093,523776,50394
0.094,523776,51040
0.095,523776,46366
0.096,523776,50632
0.097,523776,51730
0.098,523776,48428
0.099,523776,49820
0.1,523776,54192
0.101,523776,51566
0.102,523776,39766
0.103,523776,56478
0.104,523776,54084
0.105,523776,53792
0.106,523776,52900
0.107,523776,48214
0.108,523776,43156
0.109,523776,49742
0.11,523776,44192
0.111,523776,57870
0.112,523776,47152
0.113,523776,47228
0.114,523776,61116
0.115,523776,48434
0.116,523776,57618
0.117,523776,51252
0.118,523776,53796
0.119,523776,61908
0.12,523776,63228
0.121,523776,63108
0.122,523776,57430
0.123,523776,67040
0.124,523776,48478
0.125,523776,65274
0.126,523776,48460
0.127,523776,58490
0.128,523776,68922
0.129,523776,56816
0.13,523776,57790
0.131,523776,59716
0.132,523776,53902
0.133,523776,55542
0.134,523776,68024
0.135,523776,70716
0.136,523776,69344
0.137,523776,62992
0.138,523776,61370
0.139,523776,64492
0.14,523776,63062
0.141,523776,69188
0.142,523776,57074
0.143,523776,62230
0.144,523776,62026
0.145,523776,69928
0.146,523776,67880
0.147,523776,68892
0.148,523776,65816
0.149,523776,73102
0.15,523776,70146
0.151,523776,68564
0.152,523776,71686
0.153,523776,54988
0.154,523776,73700
0.155,523776,75244
0.156,523776,74264
0.157,523776,83356
0.158,523776,76012
0.159,523776,85760
0.16,523776,67806
0.161,523776,74530
0.162,523776,75396
0.163,523776,71598
0.164,523776,70164
0.165,523776,87306
0.166,523776,77642
0.167,523776,69770
0.168,523776,83934
0.169,523776,76752
0.17,523776,68366
